diff_within_minus_naive,precision_within,precision_naive
-0.025999999999999995,0.068,0.094
-0.017999999999999988,0.154,0.172
-0.021999999999999992,0.064,0.086
0.0,0.11,0.11
-0.010000000000000009,0.184,0.194
-0.011999999999999983,0.136,0.148
-0.0040000000000000036,0.144,0.148
-0.0040000000000000036,0.092,0.096
-0.025999999999999995,0.06,0.086
-0.06,0.15,0.21
-0.018000000000000002,0.074,0.092
0.020000000000000004,0.108,0.088
0.01200000000000001,0.1,0.088
0.025999999999999995,0.094,0.068
0.011999999999999983,0.144,0.132
0.0020000000000000018,0.122,0.12
0.010000000000000009,0.13,0.12
0.018000000000000002,0.108,0.09
0.03399999999999999,0.104,0.07
0.025999999999999995,0.102,0.076
0.0059999999999999915,0.12,0.114
0.016,0.118,0.102
0.020000000000000004,0.124,0.104
-0.04600000000000001,0.142,0.188
-0.011999999999999997,0.068,0.08
0.006000000000000005,0.134,0.128
0.0040000000000000036,0.134,0.13
-0.006000000000000005,0.072,0.078
0.020000000000000004,0.126,0.106
-0.03999999999999998,0.138,0.178
0.007999999999999993,0.122,0.114
0.008000000000000007,0.136,0.128
-0.021999999999999992,0.136,0.158
-0.018000000000000002,0.048,0.066
0.010000000000000009,0.168,0.158
0.006000000000000005,0.132,0.126
-0.011999999999999997,0.07,0.082
-0.0020000000000000018,0.056,0.058
-0.005999999999999998,0.058,0.064
-0.0020000000000000018,0.112,0.114
0.032,0.128,0.096
-0.020000000000000004,0.076,0.096
-0.013999999999999999,0.022,0.036
-0.005999999999999998,0.058,0.064
0.007999999999999993,0.12,0.112
-0.04200000000000001,0.146,0.188
0.028000000000000004,0.084,0.056
0.025999999999999995,0.124,0.098
-0.043999999999999984,0.134,0.178
0.0040000000000000036,0.13,0.126
0.0040000000000000036,0.14,0.136
-0.010000000000000009,0.148,0.158
-0.010000000000000009,0.072,0.082
0.006000000000000005,0.134,0.128
-0.0040000000000000036,0.054,0.058
-0.022,0.056,0.078
0.020000000000000004,0.106,0.086
-0.02600000000000001,0.088,0.114
0.022000000000000006,0.128,0.106
-0.01200000000000001,0.154,0.166
-0.008,0.022,0.03
0.01200000000000001,0.116,0.104
-0.0020000000000000018,0.122,0.124
-0.016,0.112,0.128
