diff_within_minus_naive,precision_within,precision_naive
0.007999999999999993,0.12,0.112
-0.0020000000000000018,0.134,0.136
-0.011999999999999997,0.06,0.072
0.020000000000000004,0.094,0.074
0.001999999999999974,0.142,0.14
0.04200000000000001,0.136,0.094
0.022000000000000006,0.132,0.11
0.01999999999999999,0.15,0.13
-0.0059999999999999915,0.066,0.072
-0.0020000000000000018,0.076,0.078
0.010000000000000009,0.14,0.13
-0.07600000000000001,0.146,0.222
0.02600000000000001,0.116,0.09
0.0040000000000000036,0.068,0.064
0.018000000000000002,0.13,0.112
0.016,0.118,0.102
-0.0059999999999999915,0.112,0.118
0.013999999999999999,0.118,0.104
0.0020000000000000018,0.082,0.08
-0.0020000000000000018,0.122,0.124
-0.01999999999999999,0.124,0.144
-0.00399999999999999,0.098,0.102
0.006000000000000005,0.15,0.144
0.011999999999999983,0.142,0.13
-0.0020000000000000018,0.078,0.08
0.020000000000000004,0.134,0.114
0.010000000000000009,0.114,0.104
0.03,0.09,0.06
0.025999999999999995,0.106,0.08
-0.010000000000000002,0.054,0.064
-0.009999999999999981,0.134,0.144
-0.006000000000000005,0.12,0.126
-0.008000000000000007,0.144,0.152
0.02600000000000001,0.136,0.11
-0.007999999999999993,0.114,0.122
0.0040000000000000036,0.136,0.132
-0.010000000000000009,0.13,0.14
-0.010000000000000009,0.12,0.13
0.022000000000000006,0.128,0.106
-0.027999999999999997,0.148,0.176
0.021999999999999992,0.102,0.08
0.011999999999999997,0.108,0.096
0.024000000000000007,0.112,0.088
0.0,0.102,0.102
0.00399999999999999,0.086,0.082
-0.013999999999999999,0.06,0.074
0.03,0.094,0.064
0.016,0.118,0.102
0.018000000000000002,0.128,0.11
0.011999999999999997,0.112,0.1
-0.032,0.142,0.174
0.016,0.13,0.114
0.014000000000000012,0.138,0.124
0.022000000000000006,0.128,0.106
0.022000000000000006,0.13,0.108
0.013999999999999999,0.102,0.088
-0.010000000000000009,0.15,0.16
0.01200000000000001,0.098,0.086
0.020000000000000004,0.122,0.102
-0.020000000000000004,0.046,0.066
0.024000000000000007,0.11,0.086
0.036,0.092,0.056
0.021999999999999992,0.104,0.082
0.0,0.064,0.064
0.025999999999999995,0.104,0.078
0.022000000000000006,0.094,0.072
-0.0020000000000000018,0.122,0.124
0.014000000000000012,0.136,0.122
0.0040000000000000036,0.128,0.124
0.0,0.056,0.056
-0.027999999999999997,0.132,0.16
0.018000000000000002,0.134,0.116
0.015999999999999986,0.142,0.126
-0.016000000000000014,0.142,0.158
0.025999999999999995,0.108,0.082
-0.03799999999999998,0.136,0.174
0.013999999999999999,0.122,0.108
-0.011999999999999997,0.098,0.11
-0.04600000000000001,0.146,0.192
0.013999999999999999,0.128,0.114
0.020000000000000004,0.106,0.086
0.001999999999999974,0.142,0.14
-0.006000000000000005,0.072,0.078
-0.007999999999999993,0.11,0.118
0.006000000000000005,0.154,0.148
-0.0020000000000000018,0.056,0.058
-0.013999999999999999,0.06,0.074
0.032,0.092,0.06
0.013999999999999999,0.08,0.066
0.02599999999999998,0.142,0.116
-0.018000000000000002,0.06,0.078
0.008000000000000007,0.134,0.126
0.020000000000000004,0.1,0.08
0.023999999999999994,0.102,0.078
-0.023999999999999994,0.134,0.158
0.024000000000000007,0.134,0.11
0.014000000000000012,0.136,0.122
0.006000000000000005,0.156,0.15
0.020000000000000004,0.096,0.076
-0.023999999999999994,0.062,0.086
0.010000000000000009,0.1,0.09
0.0,0.048,0.048
-0.011999999999999983,0.136,0.148
0.013999999999999999,0.106,0.092
0.023999999999999994,0.122,0.098
-0.04200000000000001,0.128,0.17
-0.027999999999999997,0.132,0.16
-0.009999999999999995,0.076,0.086
0.006000000000000005,0.15,0.144
0.007999999999999993,0.118,0.11
0.013999999999999999,0.12,0.106
0.016,0.096,0.08
0.028000000000000004,0.084,0.056
0.016,0.106,0.09
-0.006000000000000005,0.134,0.14
0.01999999999999999,0.144,0.124
0.013999999999999999,0.126,0.112
-0.0040000000000000036,0.132,0.136
0.0020000000000000018,0.128,0.126
0.0040000000000000036,0.112,0.108
0.02600000000000001,0.112,0.086
-0.057999999999999996,0.146,0.204
-0.0040000000000000036,0.154,0.158
0.018000000000000016,0.138,0.12
0.008000000000000007,0.116,0.108
-0.0040000000000000036,0.066,0.07
0.027999999999999997,0.124,0.096
-0.03,0.152,0.182
0.022000000000000006,0.128,0.106
0.013999999999999999,0.128,0.114
-0.009999999999999995,0.092,0.102
0.025999999999999995,0.158,0.132
-0.07200000000000001,0.152,0.224
-0.0020000000000000018,0.112,0.114
0.0040000000000000036,0.158,0.154
0.027999999999999997,0.12,0.092
0.025999999999999995,0.11,0.084
0.015999999999999986,0.142,0.126
0.011999999999999997,0.126,0.114
-0.04400000000000001,0.154,0.198
0.018000000000000002,0.126,0.108
0.013999999999999999,0.124,0.11
0.0,0.124,0.124
0.025999999999999995,0.104,0.078
0.014000000000000005,0.068,0.054
0.020000000000000004,0.13,0.11
0.007999999999999993,0.122,0.114
-0.010000000000000009,0.126,0.136
0.016,0.116,0.1
0.0,0.138,0.138
0.009999999999999995,0.104,0.094
-0.0020000000000000018,0.108,0.11
-0.0020000000000000018,0.048,0.05
-0.006000000000000005,0.134,0.14
0.018000000000000002,0.094,0.076
0.016,0.108,0.092
0.014000000000000012,0.1,0.086
-0.026000000000000023,0.142,0.168
-0.011999999999999983,0.164,0.176
0.011999999999999997,0.108,0.096
0.014000000000000012,0.1,0.086
-0.034,0.16,0.194
0.01200000000000001,0.114,0.102
-0.003999999999999997,0.056,0.06
0.018000000000000002,0.106,0.088
0.007999999999999993,0.118,0.11
-0.04000000000000001,0.148,0.188
-0.009999999999999995,0.092,0.102
0.024000000000000007,0.128,0.104
-0.062,0.14,0.202
-0.09,0.138,0.228
0.036000000000000004,0.07,0.034
0.0040000000000000036,0.098,0.094
0.032,0.116,0.084
-0.006000000000000005,0.13,0.136
0.006000000000000005,0.066,0.06
0.010000000000000009,0.14,0.13
0.00799999999999998,0.148,0.14
0.036000000000000004,0.112,0.076
-0.0020000000000000018,0.134,0.136
0.0040000000000000036,0.148,0.144
0.013999999999999999,0.108,0.094
0.015999999999999986,0.142,0.126
-0.010000000000000009,0.158,0.168
0.023999999999999994,0.142,0.118
0.01999999999999999,0.12,0.1
0.008000000000000007,0.128,0.12
0.016,0.1,0.084
-0.016000000000000014,0.148,0.164
0.01999999999999999,0.144,0.124
-0.034,0.088,0.122
0.016,0.09,0.074
0.020000000000000004,0.134,0.114
-0.0020000000000000018,0.13,0.132
-0.011999999999999997,0.096,0.108
0.020000000000000004,0.106,0.086
-0.0040000000000000036,0.118,0.122
-0.016000000000000014,0.142,0.158
0.0,0.03,0.03
0.0,0.078,0.078
0.011999999999999997,0.076,0.064
0.036000000000000004,0.136,0.1
-0.04600000000000001,0.146,0.192
0.023999999999999994,0.154,0.13
-0.0059999999999999915,0.082,0.088
0.024000000000000007,0.134,0.11
0.036000000000000004,0.122,0.086
0.0,0.148,0.148
0.03,0.178,0.148
0.017999999999999988,0.102,0.084
0.03,0.09,0.06
0.006000000000000005,0.07,0.064
-0.0040000000000000036,0.164,0.168
0.007999999999999993,0.072,0.064
-0.009999999999999981,0.136,0.146
-0.011999999999999997,0.098,0.11
0.022000000000000006,0.096,0.074
0.0020000000000000018,0.106,0.104
-0.008000000000000007,0.074,0.082
-0.010000000000000009,0.184,0.194
0.027999999999999997,0.11,0.082
-0.0020000000000000018,0.148,0.15
0.020000000000000004,0.136,0.116
0.008000000000000007,0.134,0.126
-0.010000000000000009,0.072,0.082
0.0020000000000000018,0.174,0.172
-0.017999999999999988,0.1,0.118
-0.009999999999999995,0.08,0.09
0.006000000000000005,0.066,0.06
0.027999999999999997,0.176,0.148
0.010000000000000009,0.136,0.126
0.011999999999999997,0.126,0.114
0.011999999999999983,0.15,0.138
0.011999999999999997,0.104,0.092
0.007999999999999993,0.086,0.078
-0.057999999999999996,0.158,0.216
0.018000000000000002,0.128,0.11
-0.038000000000000006,0.164,0.202
0.025999999999999995,0.092,0.066
0.020000000000000004,0.122,0.102
0.011999999999999997,0.124,0.112
0.032,0.098,0.066
-0.014000000000000012,0.148,0.162
0.0040000000000000036,0.124,0.12
0.016,0.102,0.086
-0.009999999999999995,0.11,0.12
-0.04200000000000001,0.16,0.202
-0.006000000000000005,0.106,0.112
0.028000000000000004,0.084,0.056
-0.0020000000000000018,0.136,0.138
0.016,0.132,0.116
-0.016,0.06,0.076
0.0020000000000000018,0.15,0.148
-0.0040000000000000036,0.122,0.126
0.0020000000000000018,0.098,0.096
0.01200000000000001,0.116,0.104
-0.018000000000000016,0.152,0.17
0.010000000000000009,0.128,0.118
-0.0040000000000000036,0.106,0.11
0.013999999999999999,0.124,0.11
0.010000000000000009,0.14,0.13
0.0020000000000000018,0.126,0.124
-0.013999999999999999,0.066,0.08
-0.008000000000000007,0.062,0.07
0.007999999999999993,0.122,0.114
0.025999999999999995,0.106,0.08
